	species	NumGI	GIBase	RepSize	Proportion	NumChromosome	NumPlasmid	BioSampleID
24	Bartonella ancashensis	6.0	190785.0	1467695.0	12.998954142379718	1	0	SAMN02803869
25	Microbacterium aurum	13.0	444475.0	3424892.0	12.977781489168125	1	0	SAMN06010969
26	Acetobacter sp. SLV-7	12.0	363284.0	2799488.0	12.976801472269216	1	3	SAMN03437041
27	Desulfovibrio magneticus	14.0	678717.0	5248049.0	12.932748912976994	1	2	SAMD00060954
28	Altererythrobacter atlanticus	13.0	437195.0	3386291.0	12.910733306735894	1	1	SAMN03658145
29	Lactobacillus fermentum	12.166666666666666	275167.6666666667	2114692.8333333335	12.89949024448835	12	5	SAMD00060917,SAMN02604100,SAMN02603935,SAMN02314197,SAMN05510874,SAMN06174220,SAMN06703219,SAMN07192734,SAMD00073748,SAMN07224244,SAMN05712721,SAMEA104224050
30	Lactobacillus acetotolerans	14.0	219255.0	1704859.0	12.86059433654044	1	0	SAMD00026530
31	Aster yellows witches'-broom phytoplasma	2.0	90405.0	706569.0	12.7949287330749	1	4	SAMN02603687
32	Wolbachia endosymbiont of Drosophila melanogaster	7.0	161087.0	1267782.0	12.706206587567895	1	0	SAMN02604000
33	Thermacetogenium phaeum	16.0	372782.0	2939057.0	12.68372814817814	1	0	SAMN02603274
34	Thermobacillus composti	20.0	533370.0	4206343.0	12.680135690313415	1	1	SAMN02261378
35	Streptococcus macedonicus	11.0	269687.0	2130034.0	12.661159399333531	1	1	SAMEA2272145
36	Desulfomicrobium orale	16.0	351677.0	2783374.0	12.63491719043147	1	0	SAMN04435861
37	Geobacillus kaustophilus	17.0	446637.0	3544776.0	12.599865266521777	1	1	SAMD00061072
38	Bordetella petrii	19.0	653159.0	5287950.0	12.35183766866177	1	0	SAMEA3138272
39	Pelagibaca abyssi	13.0	523158.0	4246390.0	12.320064807989846	1	8	SAMN04562614
40	Geobacillus thermoleovorans	15.0	433474.0	3530520.3333333335	12.25248325420125	4	2	SAMN02603099,SAMN04455789,SAMN04631815,SAMN05893589
41	Sphingopyxis fribergensis	19.0	608429.0	4993584.0	12.184214784411356	1	1	SAMN02872841
42	Xanthobacter autotrophicus	14.0	644044.0	5308934.0	12.131324292221377	1	1	SAMN02598342
43	Parageobacillus thermoglucosidans	15.75	469233.5	3878012.25	12.0948732013321	4	6	SAMN02232024,SAMN04099008,SAMN05416582,SAMN05416583
44	Caldicellulosiruptor lactoaceticus	15.0	322941.0	2674809.0	12.073422812619517	1	0	SAMN00713563
45	Methylophaga frappieri	7.0	324120.0	2697465.0	12.01572587596132	1	1	SAMN02603343
46	Aliivibrio salmonicida	12.5	216541.0	2265813.0	12.003800511938387	2	4	SAMEA1705917
47	Petrimonas mucosa	20.0	443726.0	3717632.0	11.935716068723316	1	0	SAMEA4408017
48	Geobacillus sp. GHH01	10.0	418443.0	3583134.0	11.678128699624407	1	0	SAMN02603276
49	Citrobacter rodentium	21.0	621574.0	5346659.0	11.625465547737381	1	3	SAMEA2272524
50	Geobacillus sp. Y412MC52	19.0	420873.0	3628883.0	11.597866340689407	1	1	SAMN00713574
51	Croceicoccus naphthovorans	17.0	410821.0	3543806.0	11.592649259017	1	2	SAMN03757733
52	Acidovorax sp. JS42	16.0	515125.0	4448856.0	11.578819363899393	1	2	SAMN02598333
53	Geobacillus sp. C56-T3	16.0	421361.0	3650813.0	11.541566221003377	1	0	SAMN02598534
54	Corynebacterium resistens	11.0	300041.0	2601311.0	11.534222551628774	1	0	SAMN02603065
55	Mycoplasma hyorhinis	4.666666666666667	95240.33333333333	836420.8333333334	11.386729059685807	7	0	SAMN02603209,SAMN02603925,SAMN02604225,SAMN02603597,SAMN02603233,SAMN05467877,SAMEA4384243
56	Alteromonas naphthalenivorans	21.0	563369.0	4972148.0	11.330495391528974	1	0	SAMN02603134
57	Prevotella intermedia	5.625	142776.875	1355899.375	11.319990912284794	26	0	SAMN02603988,SAMD00034934,SAMN04529095,SAMN04529094,SAMD00017481,SAMN07955957,SAMN07956007,SAMN07955952,SAMN07956008,SAMN07956010,SAMN07955950,SAMN07980911,SAMN07980959,SAMN07955960
58	Geobacillus sp. Y412MC61	20.0	409380.0	3622844.0	11.299962129200154	2	0	SAMN00017500
59	Candidatus Thioglobus autotrophicus	4.0	170665.0	1512449.0	11.284016849493769	1	0	SAMN03280981
60	Bacillus coagulans	13.833333333333334	392189.3333333333	3485142.5	11.204653845097875	8	0	SAMN00623030,SAMN02603866,SAMN03120846,SAMN03272539,SAMN03754657,SAMN05817827,SAMN08461623,SAMN08194889
61	Barnesiella viscericola	9.0	342287.0	3076856.0	11.124570015626341	1	0	SAMN02769649
62	Thiomicrospira crunogena	10.0	269328.0	2427734.0	11.093801874505196	1	0	SAMN02598288
63	[Clostridium] saccharolyticum	12.0	514719.0	4662871.0	11.038671239242946	1	0	SAMN00017134
64	Lactobacillus paracasei	14.285714285714286	320814.85714285716	2933422.8571428573	10.949219527915506	16	27	SAMN02598528,SAMN02463682,SAMN03081525,SAMD00010723,SAMN03892742,SAMN03853751,SAMN04378089,SAMN04571918,SAMN05921089,SAMN05781319,SAMN05356834,SAMN08195363,SAMN08361670,SAMN09239981,SAMN09283999,SAMN09222630
65	Anoxybacillus flavithermus	19.0	310977.0	2846746.0	10.923946147636634	3	1	SAMN02604185,SAMN06925341,SAMN06758772
66	Steroidobacter denitrificans	9.0	378536.0	3467246.0	10.917483212901537	1	0	SAMN03776156
67	Photobacterium profundum	12.0	244133.0	2237943.0	10.908812244100945	1	1	SAMEA3138336
68	Pseudomonas syringae group genomosp. 3	28.0	697643.0	6397126.0	10.905569157149632	3	5	SAMN02604017,SAMN03481242,SAMEA104365493
69	Geobacillus subterraneus	16.0	378001.0	3474426.0	10.879523696863885	1	0	SAMN04445793
70	Desulfococcus multivorans	14.0	483860.0	4455399.0	10.860082340549074	2	0	SAMN04893606,SAMN06392868
71	Psychrobacter sp. AntiMn-1	15.0	340620.0	3138120.0	10.854269435203243	1	0	SAMN04098990
72	Cupriavidus metallidurans	14.0	426222.0	3928089.0	10.850619728829972	2	6	SAMN02598450,SAMN08449870
73	Dehalobacter sp. CF	11.0	335446.0	3092048.0	10.848667291064045	1	0	SAMN01141377
74	Acholeplasma brassicae	8.0	201356.0	1877792.0	10.723019375947922	1	0	SAMEA4532333
75	Sphingopyxis macrogoltabida	16.333333333333332	546833.6666666666	5104565.0	10.705255998886129	3	9	SAMN04044495,SAMN03031197,SAMN04288116
76	Candidatus Symbiobacter mobilis	12.0	319826.0	2991840.0	10.689943312476602	1	0	SAMN02603948
77	Bartonella australis	4.0	170605.0	1596490.0	10.68625547294377	1	0	SAMN02604270
78	Geobacillus thermodenitrificans	11.0	378523.0	3550319.0	10.661661670402012	3	3	SAMN02603899,SAMN05894115,SAMN06459234
79	Bradyrhizobium japonicum	23.333333333333332	1008570.6666666666	9523414.333333334	10.65883397341311	3	0	SAMD00060992,SAMN03262953,SAMN05890661
80	Rhodovulum sulfidophilum	14.666666666666666	450762.6666666667	4223329.666666667	10.64869455182322	3	6	SAMD00025828,SAMN04903812,SAMN04903811
81	Xanthomonas fragariae	18.5	449622.0	4232634.0	10.622746950455468	5	9	SAMN05505398,SAMN05505397,SAMEA104068692,SAMEA104068690,SAMEA104068691
82	Wolbachia endosymbiont of Drosophila simulans	8.0	137576.0	1298813.5	10.604051601059677	3	0	SAMN02604272,SAMN02604273,SAMEA2555295
83	Dehalogenimonas lykanthroporepellens	9.0	178537.0	1686510.0	10.586180929849215	1	0	SAMN02598529
84	Rhodomicrobium vannielii	14.0	423201.0	4014469.0	10.541892339933376	1	0	SAMN00007427
85	Campylobacter subantarcticus	2.0	191568.5	1817765.5	10.54124916133317	2	0	SAMN03248548,SAMN03248549
86	Methylomonas denitrificans	20.0	544289.0	5172098.0	10.523563165276451	1	0	SAMN02997349
87	Rickettsia amblyommatis	4.0	148488.0	1411582.5	10.518401983246925	3	8	SAMN02603561,SAMN03997007,SAMN04576393
88	Methylobacterium sp. 4-46	24.0	805297.0	7659055.0	10.514312797074835	1	2	SAMN00623053
89	Bacillus smithii	16.0	353508.0	3368778.0	10.49365675031124	1	1	SAMN03246763
90	Sphingopyxis terrae	11.0	417463.0	3979087.0	10.49142680217849	1	1	SAMN04046241
91	Anoxybacillus amylolyticus	15.0	297065.0	2834744.0	10.47942953578877	1	2	SAMN04570556
92	Streptococcus anginosus	9.0	216895.8	2045699.2	10.46392435588163	5	0	SAMN02603662,SAMN02603663,SAMD00061060,SAMN05771128,SAMN03577772
93	Bradyrhizobium diazoefficiens	27.25	970535.0	9282112.75	10.42706487483407	5	4	SAMD00061083,SAMD00022775,SAMN03573437,SAMN04191488,SAMN09205184
94	endosymbiont of Acanthamoeba sp. UWC8	6.0	168211.0	1615277.0	10.41375565924606	1	0	SAMN03081459
95	Celeribacter marinus	11.0	322320.0	3096705.0	10.408482564532301	1	0	SAMN03837864
96	Xenorhabdus nematophila	23.0	460494.0	4432103.0	10.389966117664684	2	1	SAMEA2501488,SAMN10053199
97	Burkholderia sp. OLGA172	13.0	444376.5	4071845.5	10.379967229987276	2	3	SAMN04498477
98	Shigella flexneri	32.0	477119.0	4607202.0	10.355938376480996	1	1	SAMN02603599
99	Aerococcus viridans	12.0	226914.0	2199877.0	10.314849421126727	1	0	SAMN04419116
100	Sphingomonas panacis	15.0	516017.0	5003808.0	10.312486010654286	1	1	SAMN04417200
101	Shigella dysenteriae	37.0	450558.0	4369232.0	10.31206399660169	2	3	SAMN02603600,SAMN01916922
102	Kiritimatiella glycovorans	5.0	303017.0	2949723.0	10.272727303546807	1	0	SAMN03329217
103	Methylobacterium nodulans	33.0	796336.0	7772460.0	10.245610784745113	1	7	SAMN00000043
104	Turneriella parva	8.0	449003.0	4384015.0	10.24182170909543	1	1	SAMN02232065
105	Mycobacterium gilvum	13.0	570447.0	5583677.0	10.216429017923593	2	5	SAMN02598346,SAMN00713568
106	Chlorobium phaeobacteroides	11.5	304697.0	2935152.5	10.207676855578503	2	0	SAMN02598273,SAMN02598272
107	Candidatus Phytoplasma australiense	5.5	94108.0	919869.0	10.205693360631702	2	0	SAMEA3138281,SAMN02603946
108	Leptospira santarosai	7.0	198624.0	1991805.5	10.201681009657422	2	0	SAMN02470123
109	Methylobacterium populi	19.0	590814.0	5800441.0	10.185673813422117	2	7	SAMN00000038,SAMD00024749
110	Streptococcus parauberis	6.0	217256.0	2143887.0	10.133743056420418	2	1	SAMN02603301,SAMN08180797
111	Thioalkalivibrio sulfidiphilus	13.0	350962.0	3464554.0	10.13007734906138	1	0	SAMN00001443
112	Corynebacterium jeikeium	10.0	248941.0	2462499.0	10.109283293109966	3	1	SAMEA3283089,SAMN06173341,SAMEA4017709
113	Komagataeibacter medellinensis	8.0	316587.0	3136818.0	10.092616147956305	1	7	SAMD00060987
114	Xanthomonas oryzae	24.434782608695652	494141.7826086957	4907790.739130435	10.032282169435481	48	2	SAMD00061078,SAMN02603061,SAMN02603060,SAMN02640212,SAMN02616002,SAMN02793996,SAMN03612252,SAMN03612256,SAMN03612248,SAMN03612259,SAMN03612260,SAMN03612287,SAMN03612258,SAMN03612254,SAMN04287888,SAMN04161335,SAMN04306145,SAMN04306146,SAMN04306147,SAMN04306148,SAMN04306150,SAMN04306151,SAMN04306152,SAMN03729481,SAMN05757029,SAMN05757035,SAMN05757028,SAMN05757032,SAMN05757033,SAMN05757034,SAMN05757030,SAMN05757031,SAMN03020243,SAMN08225246,SAMN08225245,SAMN06695275,SAMN07178576,SAMN05953072,SAMN05953089,SAMN05953090,SAMN05953096,SAMN05953100,SAMN05953163,SAMN05953164,SAMN05953178,SAMN05717683,SAMN06255990,SAMN06480557
115	Lactobacillus gallinarum	13.0	232343.0	2317164.0	10.027041676808375	1	5	SAMN04121884
116	Salimicrobium jeotgali	5.0	270592.0	2698725.0	10.026660737941064	1	2	SAMN03571250
117	Candidatus Sodalis pierantonius	26.0	452175.0	4513140.0	10.019077626663476	1	0	SAMN02641641
118	Sphingopyxis sp. 113P3	20.0	442138.0	4420776.0	10.00136627596603	1	1	SAMN03031198
119	Mahella australiensis	7.0	312831.0	3135972.0	9.975567383892459	1	0	SAMN02232034
120	Magnetospirillum sp. XM-1	18.0	479440.0	4825187.0	9.936195218962498	1	1	SAMEA3682505
121	Heliobacterium modesticaldum	5.0	305289.0	3075407.0	9.92678367448601	1	0	SAMN02602985
122	Rhodococcus pyridinivorans	10.0	518748.0	5227080.0	9.924240685047867	2	2	SAMN02641478,SAMN07510605
123	Streptococcus himalayensis	10.0	225393.0	2275471.0	9.90533388472101	1	0	SAMN05560386
124	Pseudoalteromonas translucida	6.5	157998.5	2073796.5	9.903541316617368	2	0	SAMN03380229
125	Sphingopyxis alaskensis	11.0	331030.0	3345170.0	9.895760155687155	1	1	SAMN02598319
126	Burkholderia territorii	2.5	150910.0	2217828.0	9.86999562092692	3	0	SAMN03449137
127	[Eubacterium] rectale	9.0	340243.0	3449685.0	9.863016478316137	1	0	SAMN02603082
128	Nitrosomonas eutropha	17.0	262396.0	2661057.0	9.860592989928438	1	2	SAMN02598323
129	Obesumbacterium proteus	15.0	492831.0	5011796.0	9.83342099319286	1	0	SAMN04487151
130	Kyrpidia tusciae	15.0	332213.0	3384766.0	9.814947325753096	1	0	SAMN00017498
131	Streptococcus gallolyticus	9.5	220248.25	2280523.0	9.813456688529314	6	1	SAMEA2272396,SAMEA2272408,SAMD00060983,SAMN04348601,SAMN06140979,SAMEA3881065
132	Lactobacillus casei	12.5	295834.375	3009041.875	9.800785686438008	10	8	SAMN02603933,SAMEA2272724,SAMN02603876,SAMN02603877,SAMN02472008,SAMEA2271945,SAMN02603330,SAMD00061035,SAMN05631198,SAMEA4665296
133	Erythrobacter litoralis	9.0	308080.0	3151875.5	9.792181648574743	2	0	SAMN00622970,SAMN05601187
134	Desulfotomaculum reducens	15.0	352426.0	3608104.0	9.767623106207582	1	0	SAMN02598304
135	Peptoclostridium acidaminophilum	6.0	219132.0	2246262.0	9.755406982800759	1	1	SAMN02689753
136	Lachnoclostridium phocaeense	13.0	341101.0	3500754.0	9.74364379787897	1	0	SAMEA4555314
137	Gluconacetobacter diazotrophicus	14.5	380993.0	3915827.5	9.723332817515624	2	3	SAMN02598444,SAMEA3138270
138	Filifactor alocis	6.0	187738.0	1931012.0	9.72225962345133	1	0	SAMN02463683
139	Shewanella sp. W3-18-1	13.0	457665.0	4708380.0	9.720222242045034	1	0	SAMN02598315
140	Methylomonas sp. DH-1	22.0	471271.0	4849532.0	9.717865558985897	1	1	SAMN04496853
141	Porphyromonas gingivalis	8.333333333333334	229264.5	2359442.1666666665	9.71304074490364	20	0	SAMN02603720,SAMD00060922,SAMD00060990,SAMN03366764,SAMN03372093,SAMN03656156,SAMN07840095,SAMN07836928,SAMN07840081,SAMN07840090,SAMN07840091,SAMN07840092,SAMN07840094,SAMN07840097,SAMN07831761,SAMN07836904,SAMN07836934,SAMN07315161,SAMN07315160,SAMN07315163
142	Lactobacillus ruminis	6.0	200447.0	2066652.0	9.699117219541558	1	0	SAMN02603606
143	Desulfuromonas soudanensis	14.0	383836.0	3958620.0	9.696207264147606	1	0	SAMN03287929
144	Lactobacillus mucosae	9.0	225179.0	2326299.0	9.679710131844617	1	1	SAMN02470226
145	Brevibacterium aurantiacum	18.0	407309.0	4209935.0	9.674947475436081	1	0	SAMN05714647
146	Rhodococcus sp. p52	10.0	473395.0	4893347.0	9.67425772175977	1	3	SAMN02911797
147	Methylobacterium extorquens	13.8	549515.2	5671693.0	9.655000570323107	6	8	SAMN00000030,SAMN00000037,SAMN02604258,SAMEA3138288,SAMN06210717,SAMEA104358467
148	Lactobacillus helveticus	9.777777777777779	203935.44444444444	2094678.6666666667	9.65464577645938	14	5	SAMN02603893,SAMN02603348,SAMN02603939,SAMN02604285,SAMN02641509,SAMN03164100,SAMN03328961,SAMN03982146,SAMN05417796,SAMN05417795,SAMN04892856,SAMN04892754,SAMN04892861,SAMN05751674
149	Lactobacillus kunkeei	4.0	155875.0	1614522.0	9.654560297103416	1	0	SAMN04157996
150	Syntrophomonas wolfei	10.0	282757.0	2936195.0	9.630048412997093	1	0	SAMN02598286
151	Herminiimonas arsenicoxydans	10.0	329318.0	3424307.0	9.617069964813318	1	0	SAMEA3138226
152	Xenorhabdus hominickii	31.0	432959.0	4522699.0	9.573022657488371	1	0	SAMN05207277
153	Rickettsia rhipicephali	7.0	122627.0	1290368.0	9.503257985318918	1	1	SAMN02603560
154	Burkholderiales bacterium GJ-E10	14.0	310868.0	3276549.0	9.487665223379842	1	0	SAMD00020950
155	Bacillus glycinifermentans	10.0	437012.0	4607442.0	9.484915925148922	2	0	SAMN07665165,SAMEA4348063
156	Klebsiella sp. LTGPAF-6F	16.0	585336.0	6174401.0	9.48004510882918	1	2	SAMN05832682
157	Intestinimonas butyriciproducens	10.0	319423.0	3376475.0	9.460250705247336	1	0	SAMN03072853
158	Geodermatophilus obscurus	16.0	503258.0	5322497.0	9.45529889448505	1	0	SAMN00002612
159	Desulfohalobium retbaense	8.0	269985.0	2864304.0	9.425850049436093	1	1	SAMN02598459
160	Burkholderia mallei	17.4375	264770.84375	2856616.1875	9.406063672455552	56	0	SAMN02603987,SAMN02604034,SAMN02604032,SAMN02604033,SAMN02945023,SAMN02837932,SAMN02821273,SAMN02839409,SAMN02849482,SAMN02798191,SAMN03010440,SAMN03079578,SAMN03107083,SAMN03120828,SAMN03222861,SAMN03121648,SAMN03121657,SAMN03121649,SAMN03174435,SAMN03121650,SAMN03121651,SAMN03121652,SAMN03121653,SAMN03121654,SAMN03121655,SAMN03121656,SAMN03174429,SAMN05607081
161	Prevotella fusca	4.0	134818.0	1433558.0	9.404432886566152	2	0	SAMN03704035
162	Eggerthella lenta	8.0	341339.0	3632260.0	9.397427496930286	2	0	SAMN00002594,SAMN06853954
163	Edwardsiella ictaluri	14.0	358175.0	3812301.0	9.395244499319439	3	2	SAMN02603942,SAMN06637964,SAMN08906337
164	Hydrogenophaga sp. PBC	18.0	491202.0	5232477.0	9.387561569788076	1	0	SAMN02471431
165	Pandoraea oxalativorans	23.0	528312.0	5630311.0	9.383353779213973	1	4	SAMN03085480
166	Thioalkalivibrio nitratireducens	18.0	374991.0	4002350.0	9.36927055354979	1	0	SAMN02602962
167	Corynebacterium vitaeruminis	10.0	274340.0	2931780.0	9.357455197866143	1	0	SAMN03081455
168	Thiomonas intermedia	13.0	317625.0	3396378.0	9.351874261345468	2	3	SAMN02598504,SAMN06197299
169	Flavonifractor plautii	10.0	356960.0	3818478.0	9.34822722561188	1	0	SAMN04621620
170	Geobacillus genomosp. 3	11.0	322068.0	3446630.0	9.344432097440109	1	1	SAMN02603868
171	Aeromonas media	21.0	446211.0	4777154.0	9.340519480845709	1	1	SAMN02472129
172	Burkholderia oklahomensis	11.5	352409.0	3612173.75	9.340517669000265	8	0	SAMN02847801,SAMN03075637,SAMN03449124,SAMN03449125
173	Sphingopyxis granuli	13.0	436903.0	4679853.0	9.335827428767528	1	0	SAMN03653364
174	Defluviimonas alba	10.0	442141.0	4738298.0	9.331219775539656	1	3	SAMN03956960
175	Stenotrophomonas acidaminiphila	14.0	384244.0	4138297.0	9.285075479116168	2	0	SAMN04099006,SAMN06335323
176	Murdochiella sp. Marseille-P2341	1.0	154886.0	1671491.0	9.266337659012223	1	0	SAMEA4021839
177	Xenorhabdus bovienii	22.0	404816.0	4430399.5	9.255453947167641	2	2	SAMEA3138245,SAMEA3283115
178	Clostridium sp. SY8519	9.0	262082.0	2835737.0	9.242112367966422	1	0	SAMD00060994
179	Rhodococcus sp. 2G	18.0	482803.0	5231430.0	9.228891526790953	1	1	SAMN06011250
180	Nitrosomonas communis	23.0	375128.0	4067838.0	9.221802834822823	1	0	SAMN03569272
181	Sulfurospirillum multivorans	14.0	292746.0	3175729.0	9.218229893041881	1	0	SAMN03081532
182	Hippea maritima	9.0	156039.0	1694430.0	9.208937518811636	1	0	SAMN00713597
183	Burkholderia sp. Bp5365	11.0	318963.5	3491347.5	9.187199879140795	2	1	SAMN04196784
184	Donghicola sp. JLT3646	12.0	273288.0	2978145.0	9.17645044146608	1	1	SAMN06046509
185	Propionibacterium freudenreichii	12.0	243029.0	2646865.0	9.174436256774525	18	0	SAMEA2272304,SAMN03263638,SAMN05982163,SAMN09443940,SAMEA3716040,SAMEA3987120,SAMEA3987109,SAMEA3987076,SAMEA3988333,SAMEA3988335,SAMEA3991702,SAMEA3991644,SAMEA4076646,SAMEA4360960,SAMEA4467440,SAMEA4467426
186	Intrasporangium calvum	9.0	369152.0	4024382.0	9.172886669307237	2	0	SAMN00713569,SAMN09396673
187	Fervidobacterium pennivorans	7.5	194986.0	2114116.5	9.171716959720902	2	0	SAMN02232021,SAMN02954477
188	Enterococcus faecium	14.8	257462.26666666666	2789036.933333333	9.159362299260794	53	163	SAMN00002237,SAMN02604218,SAMN02604149,SAMN02604219,SAMN02194078,SAMN04009964,SAMN04201208,SAMN04418075,SAMN03339922,SAMN03486724,SAMN03988632,SAMN03988624,SAMN03988630,SAMN04045274,SAMN06019998,SAMN06018903,SAMN03988631,SAMN03988627,SAMN06186500,SAMN06463381,SAMN06472830,SAMN06472829,SAMN07638053,SAMN06006823,SAMN05933399,SAMN05933400,SAMN07198401,SAMN05933398,SAMN08102921,SAMN08174306,SAMN07679728,SAMN07679729,SAMN07679731,SAMN07679730,SAMN07679734,SAMN07679733,SAMN07679732,SAMN07211315,SAMN06252387,SAMN06173336,SAMN08628413,SAMN08628411,SAMN08628410,SAMN08628409,SAMN08628412,SAMN06621458,SAMN06621457,SAMN09464428,SAMN07945858,SAMN10237539,SAMEA3726428,SAMEA4067785
189	Pannonibacter phragmitetus	10.0	487031.0	5318696.0	9.156962533673667	2	3	SAMN04158710,SAMN03733601
190	Sphingobium sp. TKS	9.5	289099.0	2619488.5	9.155675878554883	2	9	SAMN04497510
191	Corynebacterium efficiens	11.0	288044.0	3147090.0	9.152709328300112	1	2	SAMD00061103
192	Desulfovibrio alaskensis	9.0	341084.0	3730232.0	9.143774435477471	1	0	SAMN02598492
193	Rhizobium sp. S41	10.0	247329.5	2762183.5	9.124328546091489	2	0	SAMN05323143
194	Psychrobacter sp. PRwf-1	13.0	271271.0	2978976.0	9.106182795698924	1	2	SAMN02598345
195	Bacteroides caecimuris	25.0	440256.0	4839927.0	9.096335543903864	1	0	SAMN04621613
196	Aneurinibacillus sp. XH2	13.0	333326.0	3664835.0	9.095252582994869	1	0	SAMN03777308
197	Sodalis glossinidius	20.0	378303.0	4171146.0	9.06952190117536	1	3	SAMD00061079
198	Polymorphum gilvum	18.0	421248.0	4649365.0	9.060334045616981	1	1	SAMN02603150
199	Acidovorax sp. RAC01	10.0	414216.0	4574859.0	9.054180686224427	1	0	SAMN04909706
200	Thauera sp. MZ1T	10.0	406776.0	4496212.0	9.047082299500113	1	1	SAMN00000048
201	Bacteroides vulgatus	20.0	466729.0	5163189.0	9.039549007406082	1	0	SAMN02604309
202	Burkholderia sp. 2002721687	11.0	314221.5	3490357.0	9.036033923318783	2	1	SAMN03023794
203	Acinetobacter johnsonii	14.0	316811.0	3509795.0	9.026481603626422	2	8	SAMN03268929,SAMN09652504
204	Pseudomonas synxantha	24.0	601761.0	6690033.0	8.994888366021513	1	0	SAMN03398829
205	Komagataeibacter xylinus	9.0	310005.0	3447725.0	8.99158140512947	2	5	SAMN03081456,SAMN07972603
206	Cycloclasticus zancles	9.0	234941.0	2613078.0	8.990967739960308	1	1	SAMN02603046
207	Bifidobacterium kashiwanohense	6.0	211453.0	2354106.0	8.981999364226052	2	0	SAMN03253090,SAMD00061044
208	Candidatus Desulforudis audaxviator	5.0	210761.0	2349476.0	8.970553434042314	1	0	SAMN02598442
209	Thermoanaerobacter italicus	10.0	219531.0	2451061.0	8.956570236318068	1	0	SAMN02598495
210	Dehalococcoides sp. UCH007	2.0	131756.0	1473548.0	8.941412156237869	1	0	SAMD00018699
211	Actinomyces radicidentis	14.0	272070.0	3051613.0	8.915612825086274	1	0	SAMN04435863
212	Anoxybacillus gonensis	11.0	249834.0	2803668.0	8.910969487114738	1	0	SAMN03121471
213	Microcystis aeruginosa	25.0	443424.3333333333	4810004.666666667	8.899733779414086	4	2	SAMD00060936,SAMN03480410,SAMN03955402,SAMN05786724
214	Syntrophus aciditrophicus	9.0	282504.0	3179300.0	8.885729563111378	1	0	SAMN02603418
215	Thermosediminibacter oceani	10.0	202527.0	2280035.0	8.882626801781552	1	0	SAMN00713558
216	Cardinium endosymbiont of Encarsia pergandiella	6.0	78657.0	887130.0	8.866457001792297	1	1	SAMEA2272294
217	Acidihalobacter prosperus	15.0	315496.0	3566941.0	8.845001921814799	1	0	SAMN05828143
218	Burkholderia multivorans	6.875	203497.625	2477593.8125	8.82064481456437	20	3	SAMD00060926,SAMN00623032,SAMN02848467,SAMN03140189,SAMN03449401,SAMN03449689,SAMN05004755
219	Parabacteroides sp. YL27	10.0	291290.0	3306457.0	8.809731988046419	1	0	SAMN04621612
